x,y,z,label
22,-252,-12,triangulo
-37,-227,-42,triangulo
-31,-297,-40,triangulo
-53,-274,77,triangulo
-21,-248,-31,triangulo
33,-237,48,triangulo
-72,-241,-38,triangulo
-29,-241,-14,triangulo
-44,-249,-13,triangulo
-21,-270,-34,triangulo
30,-262,-33,triangulo
7,-251,-80,triangulo
-38,-276,31,triangulo
-66,-240,18,triangulo
18,-252,38,triangulo
-44,-209,-72,triangulo
-64,-242,-12,triangulo
-33,-245,-14,triangulo
93,-271,-49,triangulo
-2,-257,-30,triangulo
-31,-273,-66,triangulo
-63,-278,157,triangulo
-8,-271,-6,triangulo
-37,-251,-30,triangulo
-88,-226,-73,triangulo
-59,-252,-11,triangulo
-34,-292,-21,triangulo
42,-253,-38,triangulo
-55,-218,-63,triangulo
-20,-325,-14,triangulo
-41,-276,94,triangulo
-2,-292,36,triangulo
-83,-249,-59,triangulo
-85,-240,-34,triangulo
-113,-219,-9,triangulo
27,-237,-29,triangulo
-8,-255,-16,triangulo
-98,-243,-56,triangulo
-25,-237,-25,triangulo
-50,-273,53,triangulo
-31,-253,-29,triangulo
9,-240,24,triangulo
-24,-250,-44,triangulo
-12,-246,0,triangulo
-23,-257,10,triangulo
-77,-234,-76,triangulo
-40,-226,-48,triangulo
-81,-230,-45,triangulo
21,-245,-74,triangulo
-40,-258,-103,triangulo
-87,-287,-58,triangulo
-71,-221,-65,triangulo
-39,-338,-8,triangulo
-55,-190,-123,triangulo
-65,-215,-71,triangulo
-81,-226,-101,triangulo
3,-244,-86,triangulo
-7,-215,-107,triangulo
10,-154,-171,triangulo
-80,-223,-82,triangulo
-47,-199,-119,triangulo
-16,-265,-97,triangulo
-26,-168,-183,triangulo
-34,-206,-139,triangulo
-32,-205,-128,triangulo
20,-193,-140,triangulo
0,-210,-137,triangulo
-8,-183,-166,triangulo
-62,-264,-98,triangulo
-20,-208,-118,triangulo
7,-231,-125,triangulo
-44,-181,-180,triangulo
29,-202,-132,triangulo
-66,-182,-149,triangulo
64,-209,-142,triangulo
-2,-202,-150,triangulo
51,-147,-168,triangulo
-95,-250,-66,triangulo
1,-214,-134,triangulo
19,-224,-78,triangulo
2,-150,-206,triangulo
13,-219,-120,triangulo
-19,-186,-123,triangulo
33,-211,-117,triangulo
21,-207,-148,triangulo
41,-165,-162,triangulo
-119,-246,-81,triangulo
11,-203,-126,triangulo
6,-210,-131,triangulo
26,-239,-78,triangulo
-15,-164,-199,triangulo
-10,-200,-136,triangulo
-20,-210,-149,triangulo
63,-215,-112,triangulo
35,-211,-141,triangulo
35,-179,-168,triangulo
-49,-241,-102,triangulo
-1,-210,-119,triangulo
25,-202,-93,triangulo
-21,-183,-185,triangulo
-38,-211,-143,triangulo
-62,-228,-116,triangulo
39,-200,-136,triangulo
18,-209,-140,triangulo
29,-185,-190,triangulo
-55,-261,-73,triangulo
1,-207,-122,triangulo
7,-233,-85,triangulo
-36,-135,-216,triangulo
-27,-225,-117,triangulo
-72,-190,-148,triangulo
56,-196,-127,triangulo
71,-175,-163,triangulo
54,-155,-148,triangulo
-60,-255,-69,triangulo
33,-252,-72,triangulo
17,-158,-161,triangulo
-33,-203,-142,triangulo
-73,-191,-190,triangulo
78,-202,-135,triangulo
48,-209,-115,triangulo
3,-195,-196,triangulo
-65,-245,-101,triangulo
16,-210,-134,triangulo
44,-205,-111,triangulo
-22,-179,-176,triangulo
22,-191,-136,triangulo
33,-213,-125,triangulo
64,-209,-124,triangulo
52,-148,-175,triangulo
-2,-229,-140,triangulo
-23,-221,-95,triangulo
-9,-274,-84,triangulo
40,-193,-144,triangulo
-26,-202,-141,triangulo
10,-226,-130,triangulo
19,-225,-90,triangulo
-37,-228,-98,triangulo
3,-227,-89,triangulo
-26,-247,-78,triangulo
-38,-236,-72,triangulo
-54,-234,-63,triangulo
6,-245,-62,triangulo
-27,-238,-57,triangulo
-22,-242,-45,triangulo
-22,-245,-58,triangulo
-27,-244,-49,triangulo
-22,-243,-54,triangulo
-29,-244,-85,triangulo
-2,-149,-33,triangulo
-23,-241,-44,triangulo
-37,-238,-47,triangulo
-45,-238,-19,triangulo
-39,-240,-86,triangulo
-38,-251,-52,triangulo
-9,-250,-70,triangulo
19,-242,-68,triangulo
-13,-257,-93,triangulo
-55,-142,-22,triangulo
-36,-237,-37,triangulo
-7,-297,24,triangulo
-111,-234,-43,triangulo
-12,-252,5,triangulo
-38,-228,-13,triangulo
1,-256,-22,triangulo
7,-256,-44,triangulo
-16,-255,-47,triangulo
-30,-259,107,triangulo
-28,-252,-7,triangulo
-18,-234,0,triangulo
-87,-241,-29,triangulo
-79,-244,-13,triangulo
-40,-243,4,triangulo
7,-253,-14,triangulo
-61,-226,-56,triangulo
-22,-280,28,triangulo
-54,-256,-2,triangulo
-44,-265,-14,triangulo
-89,-230,-66,triangulo
-70,-243,-15,triangulo
21,-299,-6,triangulo
-6,-242,-1,triangulo
8,-238,-65,triangulo
-50,-246,26,triangulo
-17,-247,111,triangulo
-11,-250,57,triangulo
-90,-229,-51,triangulo
-60,-244,19,triangulo
-66,-251,-7,triangulo
5,-263,-2,triangulo
19,-255,-38,triangulo
-52,-264,-36,triangulo
-3,-228,68,triangulo
-53,-247,8,triangulo
56,-255,21,triangulo
-75,-218,-61,triangulo
-77,-231,-43,triangulo
-44,-233,3,triangulo
21,-267,15,triangulo
26,-257,-30,triangulo
-28,-227,-39,triangulo
-62,-309,17,triangulo
-50,-241,40,triangulo
30,-245,54,triangulo
-84,-260,-74,triangulo
-82,-243,4,triangulo
-89,-227,12,triangulo
29,-251,-30,triangulo
10,-251,-50,triangulo
13,-226,-117,triangulo
-44,-233,89,triangulo
-4,-286,27,triangulo
-3,-255,-11,triangulo
-80,-234,-73,triangulo
-29,-254,3,triangulo
-32,-275,-10,triangulo
7,-255,-17,triangulo
-14,-231,-38,triangulo
-38,-236,-5,triangulo
-34,-273,101,triangulo
57,-285,41,triangulo
-94,-250,-112,triangulo
-48,-241,35,triangulo
16,-253,-18,triangulo
-34,-255,-16,triangulo
22,-253,-58,triangulo
11,-270,-57,triangulo
-30,-277,80,triangulo
-9,-280,-11,triangulo
-3,-233,-5,triangulo
-75,-236,-32,triangulo
-42,-274,-5,triangulo
17,-255,-52,triangulo
13,-257,-57,triangulo
-40,-351,-62,triangulo
-54,-312,121,triangulo
36,-268,37,triangulo
-19,-229,-50,triangulo
-62,-245,-3,triangulo
-8,-240,-8,triangulo
3,-243,-17,triangulo
17,-258,-26,triangulo
-20,-225,-73,triangulo
-21,-247,43,triangulo
-8,-258,49,triangulo
7,-269,-23,triangulo
-59,-235,-87,triangulo
-73,-258,-13,triangulo
-27,-260,-17,triangulo
19,-258,-8,triangulo
2,-240,-51,triangulo
-59,-229,-52,triangulo
-14,-332,105,triangulo
63,-264,46,triangulo
-66,-264,-128,triangulo
-19,-244,-15,triangulo
-53,-228,3,triangulo
39,-258,-42,triangulo
3,-255,-43,triangulo
-24,-282,-81,triangulo
-31,-192,12,triangulo
-26,-247,6,triangulo
43,-294,27,triangulo
-75,-222,-84,triangulo
-72,-250,-39,triangulo
-21,-239,-31,triangulo
14,-256,-28,triangulo
13,-258,-39,triangulo
-18,-282,-64,triangulo
-15,-284,76,triangulo
-26,-248,-23,triangulo
33,-221,66,triangulo
-30,-211,-119,triangulo
-36,-245,8,triangulo
-11,-248,-37,triangulo
-30,-246,-25,triangulo
-27,-244,-16,triangulo
-45,-236,-32,triangulo
-21,-248,-48,triangulo
-10,-183,-100,triangulo
-7,-289,91,triangulo
39,-259,7,triangulo
-83,-239,-109,triangulo
-64,-256,-9,triangulo
-19,-260,-29,triangulo
30,-232,-56,triangulo
38,-256,-24,triangulo
7,-184,-169,triangulo
10,-242,87,triangulo
47,-310,24,triangulo
-54,-224,-80,triangulo
-65,-228,-53,triangulo
-44,-257,-61,triangulo
-75,-224,-42,triangulo
134,-261,-21,triangulo
41,-198,-153,triangulo
-70,-356,86,triangulo
-34,-254,-19,triangulo
37,-232,-18,triangulo
-75,-224,-115,triangulo
11,-234,-84,triangulo
35,-276,3,triangulo
-24,-205,-48,triangulo
31,-256,-68,triangulo
-17,-106,-86,triangulo
-16,-269,84,triangulo
55,-241,73,triangulo
-28,-261,-87,triangulo
-68,-243,-56,triangulo
-37,-255,-36,triangulo
-60,-207,-67,triangulo
37,-247,-60,triangulo
1,-264,-107,triangulo
-35,-302,75,triangulo
54,-281,8,triangulo
27,-220,-12,triangulo
-84,-223,-115,triangulo
-53,-256,-23,triangulo
33,-252,-10,triangulo
28,-251,-76,triangulo
9,-263,-106,triangulo
-18,-371,35,triangulo
-16,-253,26,triangulo
42,-248,22,triangulo
-81,-216,-108,triangulo
-7,-260,-36,triangulo
-16,-240,-14,triangulo
30,-234,-68,triangulo
-35,-243,-72,triangulo
-15,-236,-77,triangulo
-18,-247,65,triangulo
20,-269,-28,triangulo
30,-205,-50,triangulo
-66,-235,-116,triangulo
-59,-257,-31,triangulo
-26,-237,3,triangulo
50,-237,-54,triangulo
-8,-247,-52,triangulo
-19,-269,-84,triangulo
-23,-257,46,triangulo
-6,-283,27,triangulo
-5,-245,-21,triangulo
-90,-225,-95,triangulo
-47,-247,-19,triangulo
-49,-224,-21,triangulo
50,-236,-57,triangulo
-13,-239,-56,triangulo
-10,-273,-46,triangulo
-24,-310,72,triangulo
-17,-247,-11,triangulo
-25,-237,-85,triangulo
-89,-249,35,triangulo
29,-247,34,triangulo
-55,-219,-90,triangulo
-60,-242,-41,triangulo
-77,-248,-28,triangulo
14,-230,-65,triangulo
-63,-231,-89,triangulo
-11,-233,-103,triangulo
-70,-226,-69,triangulo
-40,-226,-92,triangulo
0,-245,-55,triangulo
-25,-204,-88,triangulo
-27,-216,-118,triangulo
-19,-222,-110,triangulo
-59,-247,-106,triangulo
49,-220,-115,triangulo
39,-231,-121,triangulo
-10,-168,-144,triangulo
-60,-266,-58,triangulo
-5,-277,-53,triangulo
1,-207,-112,triangulo
-52,-217,-147,triangulo
-80,-211,-141,triangulo
55,-266,-108,triangulo
69,-231,-124,triangulo
59,-255,-160,triangulo
-56,-246,-43,triangulo
-22,-264,-43,triangulo
7,-217,-103,triangulo
-44,-197,-165,triangulo
-59,-194,-137,triangulo
41,-260,-96,triangulo
66,-237,-108,triangulo
5,-176,-165,triangulo
-92,-294,-58,triangulo
-39,-289,-53,triangulo
60,-192,-188,triangulo
-59,-207,-114,triangulo
-35,-182,-156,triangulo
-47,-191,-133,triangulo
92,-243,-91,triangulo
7,-214,-175,triangulo
-103,-249,-47,triangulo
-4,-246,-74,triangulo
-8,-202,-131,triangulo
-48,-214,-148,triangulo
-52,-172,-132,triangulo
44,-247,-111,triangulo
73,-216,-108,triangulo
-13,-188,-151,triangulo
7,-207,-113,triangulo
-31,-269,-79,triangulo
6,-275,-48,triangulo
18,-201,-140,triangulo
-30,-187,-156,triangulo
-16,-248,-128,triangulo
27,-220,-112,triangulo
57,-225,-121,triangulo
72,-127,-178,triangulo
-99,-219,-48,triangulo
-8,-299,-46,triangulo
-11,-180,-181,triangulo
-41,-219,-138,triangulo
-37,-189,-155,triangulo
15,-275,-83,triangulo
79,-227,-107,triangulo
1,-181,-167,triangulo
-67,-199,-72,triangulo
-30,-220,-125,triangulo
-8,-271,-37,triangulo
1,-191,-128,triangulo
-49,-168,-205,triangulo
-74,-222,-137,triangulo
17,-263,-84,triangulo
73,-235,-127,triangulo
-8,-229,-159,triangulo
-114,-298,-25,triangulo
1,-267,-29,triangulo
-13,-204,-159,triangulo
-30,-173,-186,triangulo
-59,-193,-140,triangulo
-4,-251,-78,triangulo
74,-215,-139,triangulo
24,-213,-145,triangulo
-34,-253,-122,triangulo
-87,-263,-45,triangulo
-7,-302,-8,triangulo
16,-197,-189,triangulo
-53,-223,-127,triangulo
-44,-166,-156,triangulo
-38,-263,-85,triangulo
48,-231,-98,triangulo
54,-145,-168,triangulo
-72,-234,-52,triangulo
-14,-247,-76,triangulo
15,-219,-142,triangulo
-51,-155,-219,triangulo
-109,-212,-134,triangulo
27,-192,-122,triangulo
60,-234,-92,triangulo
22,-157,-170,triangulo
7,-174,-126,triangulo
-92,-255,-43,triangulo
27,-273,-34,triangulo
-12,-184,-148,triangulo
-50,-217,-137,triangulo
-64,-200,-137,triangulo
44,-249,-94,triangulo
94,-207,-109,triangulo
-14,-229,-169,triangulo
-65,-243,0,triangulo
-1,-230,-51,triangulo
-40,-166,-180,triangulo
-30,-233,-106,triangulo
1,-236,-101,triangulo
48,-239,-92,triangulo
28,-237,-144,triangulo
